speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop,intseq.num,intseq.start.spkr,intseq.start.ms,intseq.stop.spkr,intseq.stop.ms,vocseq.num,vocseq.start.ms,vocseq.stop.ms
KCHI,annotated-13993_45847274-1,16991,20511,NA,1,NA,NA,NA,NA,MAL,16590,16696,2,13993,15058,MAL,20363,21919,1,NA,NA,1,MAL,13993,MAL,21919,NA,NA,NA
KCHI,annotated-13993_45847274-1,29342,32516,NA,1,NA,NA,NA,NA,FEM,26426,29156,2,24011,25329,MAL,33731,33885,1,NA,NA,2,FEM,24011,FEM,37871,NA,NA,NA
KCHI,annotated-13993_45847274-1,32771,32992,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHI,34493,34810,1,NA,NA,2,FEM,24011,FEM,37871,NA,NA,NA
KCHI,annotated-13993_45847274-1,35529,37564,NA,1,NA,NA,NA,NA,CHI,34493,34810,1,NA,NA,FEM,37731,37871,1,NA,NA,2,FEM,24011,FEM,37871,NA,NA,NA
KCHI,annotated-13993_45847274-1,46961,47683,NA,1,NA,NA,NA,NA,SPEECH,45492,46051,1,NA,NA,NA,NA,NA,NA,NA,NA,3,SPEECH,45492,KCHI,49493,NA,NA,NA
KCHI,annotated-13993_45847274-1,47986,49493,NA,1,NA,NA,NA,NA,FEM,45510,46011,1,NA,NA,NA,NA,NA,NA,NA,NA,3,SPEECH,45492,KCHI,49493,NA,NA,NA
KCHI,annotated-13993_45847274-1,75296,75510,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,75296,75510
KCHI,annotated-13993_45847274-1,114218,114770,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,114218,114770
KCHI,annotated-13993_45847274-1,424529,425010,NA,1,NA,NA,NA,NA,MAL,423492,424326,1,NA,NA,CHI,424825,425161,2,426011,426198,4,MAL,423492,CHI,426198,NA,NA,NA
KCHI,annotated-13993_45847274-1,461492,463011,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,464157,464975,1,NA,NA,5,KCHI,461492,CHI,472769,NA,NA,NA
KCHI,annotated-13993_45847274-1,465608,466992,NA,1,NA,NA,NA,NA,FEM,464157,464975,1,NA,NA,FEM,467011,470324,1,NA,NA,5,KCHI,461492,CHI,472769,NA,NA,NA
KCHI,annotated-13993_45847274-1,471624,472010,NA,1,NA,NA,NA,NA,SPEECH,461492,470491,1,NA,NA,CHI,472011,472122,2,472303,472769,5,KCHI,461492,CHI,472769,NA,NA,NA
KCHI,annotated-13993_45847274-1,713900,715000,NA,1,NA,NA,NA,NA,MAL,711899,712147,1,NA,NA,SPEECH,715606,716829,3,717329,717491,6,MAL,711899,SPEECH,717491,NA,NA,NA
KCHI,annotated-13993_45847274-1,990471,991659,NA,1,NA,NA,NA,NA,SPEECH,989386,989923,1,NA,NA,NA,NA,NA,NA,NA,NA,7,SPEECH,989386,KCHI,991659,NA,NA,NA
KCHI,annotated-13993_45847274-1,1056895,1057440,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1056895,1057440
KCHI,annotated-13993_45847274-1,1070010,1070175,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1070010,1070175
KCHI,annotated-13993_45847274-1,1074514,1074629,NA,1,NA,NA,NA,NA,SPEECH,1074512,1074628,1,NA,NA,NA,NA,NA,NA,NA,NA,8,SPEECH,1074512,KCHI,1074629,NA,NA,NA
