speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop,intseq.num,intseq.start.spkr,intseq.start.ms,intseq.stop.spkr,intseq.stop.ms,vocseq.num,vocseq.start.ms,vocseq.stop.ms
KCHI,annotated-13993_45847274-1,1082022,1082785,NA,1,NA,NA,NA,NA,FEM,1080493,1081992,1,NA,NA,SPEECH,1084492,1086699,2,1086856,1086972,9,FEM,1080493,SPEECH,1086972,NA,NA,NA
KCHI,annotated-13993_45847274-1,1089167,1089535,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,1091224,1092041,1,NA,NA,10,SPEECH,1089114,SPEECH,1092041,NA,NA,NA
KCHI,annotated-13993_45847274-1,1091212,1092012,NA,1,NA,NA,NA,NA,SPEECH,1089114,1089959,1,NA,NA,NA,NA,NA,NA,NA,NA,10,SPEECH,1089114,SPEECH,1092041,NA,NA,NA
KCHI,annotated-13993_45847274-1,1099011,1100752,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1099011,1100752
KCHI,annotated-13993_45847274-1,1187340,1189011,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,1190275,1191390,1,NA,NA,11,KCHI,1187340,SPEECH,1191390,NA,NA,NA
KCHI,annotated-13993_45847274-1,1193932,1195886,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,1196993,1199303,2,1199878,1200970,12,SPEECH,1193891,SPEECH,1208932,NA,NA,NA
KCHI,annotated-13993_45847274-1,1196993,1198777,NA,1,NA,NA,NA,NA,SPEECH,1193891,1196090,1,NA,NA,MAL,1198992,1201093,1,NA,NA,12,SPEECH,1193891,SPEECH,1208932,NA,NA,NA
KCHI,annotated-13993_45847274-1,1201512,1202492,NA,1,NA,NA,NA,NA,MAL,1198992,1201093,1,NA,NA,SPEECH,1201517,1202511,1,NA,NA,12,SPEECH,1193891,SPEECH,1208932,NA,NA,NA
KCHI,annotated-13993_45847274-1,1203071,1203511,NA,1,NA,NA,NA,NA,SPEECH,1201517,1202511,1,NA,NA,SPEECH,1204112,1208932,1,NA,NA,12,SPEECH,1193891,SPEECH,1208932,NA,NA,NA
KCHI,annotated-13993_45847274-1,1204490,1206491,NA,1,NA,NA,NA,NA,SPEECH,1203000,1203635,1,NA,NA,MAL,1206485,1208684,1,NA,NA,12,SPEECH,1193891,SPEECH,1208932,NA,NA,NA
KCHI,annotated-13993_45847274-1,1233993,1236011,NA,1,NA,NA,NA,NA,SPEECH,1232707,1232992,1,NA,NA,MAL,1236492,1238487,1,NA,NA,13,SPEECH,1232707,MAL,1238487,NA,NA,NA
KCHI,annotated-13993_45847274-1,1308972,1310514,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1308972,1310514
KCHI,annotated-13993_45847274-1,1315501,1319855,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1315501,1319855
KCHI,annotated-13993_45847274-1,1362493,1363993,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,1364850,1366492,1,NA,NA,14,SPEECH,1362427,SPEECH,1373492,NA,NA,NA
KCHI,annotated-13993_45847274-1,1364980,1366011,NA,1,NA,NA,NA,NA,SPEECH,1362427,1364221,1,NA,NA,SPEECH,1367992,1373492,1,NA,NA,14,SPEECH,1362427,SPEECH,1373492,NA,NA,NA
KCHI,annotated-13993_45847274-1,1368028,1368637,NA,1,NA,NA,NA,NA,SPEECH,1364850,1366492,1,NA,NA,FEM,1369492,1370709,1,NA,NA,14,SPEECH,1362427,SPEECH,1373492,NA,NA,NA
KCHI,annotated-13993_45847274-1,1368892,1370011,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,1370993,1373435,1,NA,NA,14,SPEECH,1362427,SPEECH,1373492,NA,NA,NA
KCHI,annotated-13993_45847274-1,1376492,1377343,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1376492,1377343
KCHI,annotated-13993_45847274-1,1379992,1381187,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,1381546,1382992,1,NA,NA,15,KCHI,1379992,FEM,1382992,NA,NA,NA
KCHI,annotated-13993_45847274-1,1513048,1516561,NA,1,NA,NA,NA,NA,SPEECH,1509941,1512206,1,NA,NA,NA,NA,NA,NA,NA,NA,16,SPEECH,1509941,KCHI,1516561,NA,NA,NA
KCHI,annotated-13993_45847274-1,1752504,1754705,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,1754570,1755010,1,NA,NA,17,KCHI,1752504,FEM,1755010,NA,NA,NA
KCHI,annotated-13993_45847274-1,1764693,1764904,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,SPEECH,1764686,KCHI,1767511,NA,NA,NA
KCHI,annotated-13993_45847274-1,1766998,1767511,NA,1,NA,NA,NA,NA,SPEECH,1764686,1765010,1,NA,NA,NA,NA,NA,NA,NA,NA,18,SPEECH,1764686,KCHI,1767511,NA,NA,NA
KCHI,annotated-13993_45847274-1,1842362,1843552,NA,1,NA,NA,NA,NA,SPEECH,1839571,1840492,1,NA,NA,FEM,1845011,1847622,1,NA,NA,19,SPEECH,1839571,FEM,1847622,NA,NA,NA
KCHI,annotated-13993_45847274-1,1855992,1857136,NA,1,NA,NA,NA,NA,FEM,1851512,1854011,1,NA,NA,SPEECH,1858439,1859349,2,1859510,1859628,20,SPEECH,1851491,CHI,1860011,NA,NA,NA
KCHI,annotated-13993_45847274-1,1858493,1858992,NA,1,NA,NA,NA,NA,SPEECH,1855992,1857237,2,1851491,1854010,CHI,1859083,1860011,1,NA,NA,20,SPEECH,1851491,CHI,1860011,NA,NA,NA
KCHI,annotated-13993_45847274-1,1863825,1864419,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,1865012,1867938,1,NA,NA,21,KCHI,1863825,SPEECH,1867938,NA,NA,NA
KCHI,annotated-13993_45847274-1,1872199,1873512,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,1873834,1875515,2,1876406,1879992,22,KCHI,1872199,SPEECH,1879992,NA,NA,NA
KCHI,annotated-13993_45847274-1,1901097,1902077,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,1901991,1902858,1,NA,NA,23,KCHI,1901097,FEM,1902858,NA,NA,NA
KCHI,annotated-13993_45847274-1,1963666,1964000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,1964505,1966012,1,NA,NA,24,SPEECH,1963540,SPEECH,1966012,NA,NA,NA
KCHI,annotated-13993_45847274-1,1964512,1966012,NA,1,NA,NA,NA,NA,SPEECH,1963540,1964012,1,NA,NA,NA,NA,NA,NA,NA,NA,24,SPEECH,1963540,SPEECH,1966012,NA,NA,NA
KCHI,annotated-13993_45847274-1,2430304,2430674,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2430304,2430674
KCHI,annotated-13993_45847274-1,2475240,2475721,NA,2,NA,NA,2476670,2478366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2475240,2478366
KCHI,annotated-13993_45847274-1,2476670,2478366,NA,2,2475240,2475721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2475240,2478366
KCHI,annotated-13993_45847274-1,2481631,2481982,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2481631,2481982
KCHI,annotated-13993_45847274-1,2486329,2486613,NA,3,NA,NA,2489304,2490992,SPEECH,2484508,2484992,1,NA,NA,NA,NA,NA,NA,NA,NA,25,SPEECH,2484508,SPEECH,2493010,NA,NA,NA
KCHI,annotated-13993_45847274-1,2486720,2488914,NA,3,2486329,2486613,2489304,2490992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,SPEECH,2484508,SPEECH,2493010,NA,NA,NA
KCHI,annotated-13993_45847274-1,2489304,2490992,NA,3,2486329,2486613,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,2491511,2493010,1,NA,NA,25,SPEECH,2484508,SPEECH,2493010,NA,NA,NA
KCHI,annotated-13993_45847274-1,2491849,2492806,NA,1,NA,NA,NA,NA,SPEECH,2486260,2491274,1,NA,NA,NA,NA,NA,NA,NA,NA,25,SPEECH,2484508,SPEECH,2493010,NA,NA,NA
KCHI,annotated-13993_45847274-1,2786879,2788752,NA,1,NA,NA,NA,NA,MAL,2784868,2786993,2,2784491,2784766,SPEECH,2790156,2797333,1,NA,NA,26,MAL,2784491,SPEECH,2816512,NA,NA,NA
KCHI,annotated-13993_45847274-1,2792740,2797148,NA,1,NA,NA,NA,NA,FEM,2792492,2793162,1,NA,NA,SPEECH,2797462,2804023,3,2806380,2809637,26,MAL,2784491,SPEECH,2816512,NA,NA,NA
KCHI,annotated-13993_45847274-1,2798179,2802025,NA,1,NA,NA,NA,NA,FEM,2798012,2798511,1,NA,NA,MAL,2802492,2804043,1,NA,NA,26,MAL,2784491,SPEECH,2816512,NA,NA,NA
KCHI,annotated-13993_45847274-1,2808014,2809324,NA,1,NA,NA,NA,NA,FEM,2806512,2807511,1,NA,NA,SPEECH,2810714,2812270,1,NA,NA,26,MAL,2784491,SPEECH,2816512,NA,NA,NA
KCHI,annotated-13993_45847274-1,2810992,2811724,NA,1,NA,NA,NA,NA,SPEECH,2806380,2809637,3,2797462,2804023,SPEECH,2812511,2816512,1,NA,NA,26,MAL,2784491,SPEECH,2816512,NA,NA,NA
KCHI,annotated-13993_45847274-1,2813273,2814510,NA,1,NA,NA,NA,NA,SPEECH,2810714,2812270,1,NA,NA,NA,NA,NA,NA,NA,NA,26,MAL,2784491,SPEECH,2816512,NA,NA,NA
KCHI,annotated-13993_45847274-1,2821993,2822825,NA,1,NA,NA,NA,NA,SPEECH,2819607,2820910,1,NA,NA,SPEECH,2821993,2825511,3,2827973,2839234,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2824738,2824991,NA,1,NA,NA,NA,NA,MAL,2823404,2823991,1,NA,NA,NA,NA,NA,NA,NA,NA,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2832049,2833640,NA,1,NA,NA,NA,NA,FEM,2831990,2833011,1,NA,NA,FEM,2835010,2835196,1,NA,NA,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2834463,2838749,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,2839487,2841866,1,NA,NA,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2839924,2841520,NA,1,NA,NA,NA,NA,SPEECH,2827973,2839234,3,2821993,2825511,SPEECH,2842511,2855577,6,2877832,2881197,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2842590,2845010,NA,1,NA,NA,NA,NA,SPEECH,2839487,2841866,1,NA,NA,MAL,2844627,2846490,1,NA,NA,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2856338,2860685,NA,1,NA,NA,NA,NA,MAL,2851499,2855846,2,2848993,2850594,NA,NA,NA,NA,NA,NA,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2860993,2862441,NA,1,NA,NA,NA,NA,MAL,2858669,2859349,1,NA,NA,FEM,2863006,2871511,1,NA,NA,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2863061,2863225,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,SPEECH,2819607,SPEECH,2881197,NA,NA,NA
KCHI,annotated-13993_45847274-1,2895431,2896492,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,2896796,2896939,1,NA,NA,28,KCHI,2895431,KCHI,2898449,NA,NA,NA
KCHI,annotated-13993_45847274-1,2898334,2898449,NA,1,NA,NA,NA,NA,FEM,2896796,2896939,1,NA,NA,NA,NA,NA,NA,NA,NA,28,KCHI,2895431,KCHI,2898449,NA,NA,NA
KCHI,annotated-13993_45847274-1,2947037,2949656,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,2950511,2952514,1,NA,NA,29,SPEECH,2947011,SPEECH,2952514,NA,NA,NA
KCHI,annotated-13993_45847274-1,2950825,2952497,NA,1,NA,NA,NA,NA,SPEECH,2947011,2950337,1,NA,NA,NA,NA,NA,NA,NA,NA,29,SPEECH,2947011,SPEECH,2952514,NA,NA,NA
KCHI,annotated-13993_45847274-1,3089097,3090864,NA,1,NA,NA,NA,NA,CHI,3088368,3089576,2,3088010,3088260,MAL,3091218,3091775,1,NA,NA,30,CHI,3088010,SPEECH,3103492,NA,NA,NA
KCHI,annotated-13993_45847274-1,3091755,3092511,NA,1,NA,NA,NA,NA,MAL,3091218,3091775,1,NA,NA,SPEECH,3094421,3097540,2,3097663,3103492,30,CHI,3088010,SPEECH,3103492,NA,NA,NA
KCHI,annotated-13993_45847274-1,3099421,3100540,NA,2,NA,NA,3101723,3102516,FEM,3098137,3099317,4,3094511,3094992,NA,NA,NA,NA,NA,NA,30,CHI,3088010,SPEECH,3103492,NA,NA,NA
KCHI,annotated-13993_45847274-1,3101723,3102516,NA,2,3099421,3100540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,CHI,3088010,SPEECH,3103492,NA,NA,NA
KCHI,annotated-13993_45847274-1,3161383,3161815,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3161383,3161815
KCHI,annotated-13993_45847274-1,3396421,3397946,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,3397489,3400214,2,3400512,3403062,31,KCHI,3396421,FEM,3403062,NA,NA,NA
KCHI,annotated-13993_45847274-1,3428877,3429493,NA,1,NA,NA,NA,NA,SPEECH,3424493,3426992,1,NA,NA,FEM,3429511,3430269,1,NA,NA,32,SPEECH,3424493,FEM,3430269,NA,NA,NA
KCHI,annotated-13993_45847274-1,3434177,3434607,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,3435443,3441508,2,3442048,3442247,33,KCHI,3434177,FEM,3442247,NA,NA,NA
KCHI,annotated-13993_45847274-1,3465425,3466493,NA,1,NA,NA,NA,NA,FEM,3461992,3464910,1,NA,NA,MAL,3466115,3467320,1,NA,NA,34,FEM,3461992,SPEECH,3483682,NA,NA,NA
KCHI,annotated-13993_45847274-1,3466793,3466925,NA,1,NA,NA,NA,NA,FEM,3466010,3466341,1,NA,NA,FEM,3466908,3470492,1,NA,NA,34,FEM,3461992,SPEECH,3483682,NA,NA,NA
KCHI,annotated-13993_45847274-1,3467046,3468968,NA,1,NA,NA,NA,NA,MAL,3466115,3467320,1,NA,NA,NA,NA,NA,NA,NA,NA,34,FEM,3461992,SPEECH,3483682,NA,NA,NA
KCHI,annotated-13993_45847274-1,3469510,3470841,NA,1,NA,NA,NA,NA,FEM,3466908,3470492,1,NA,NA,SPEECH,3471579,3472203,5,3482511,3483682,34,FEM,3461992,SPEECH,3483682,NA,NA,NA
KCHI,annotated-13993_45847274-1,3498113,3498255,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,3498473,3499244,1,NA,NA,35,KCHI,3498113,FEM,3499244,NA,NA,NA
KCHI,annotated-13993_45847274-1,3503149,3503618,NA,1,NA,NA,NA,NA,FEM,3501252,3502646,1,NA,NA,NA,NA,NA,NA,NA,NA,36,FEM,3501252,KCHI,3503618,NA,NA,NA
KCHI,annotated-13993_45847274-1,3509894,3510137,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAL,3510992,3512398,1,NA,NA,37,FEM,3508900,KCHI,3516978,NA,NA,NA
KCHI,annotated-13993_45847274-1,3514992,3516978,NA,1,NA,NA,NA,NA,FEM,3508900,3514492,1,NA,NA,NA,NA,NA,NA,NA,NA,37,FEM,3508900,KCHI,3516978,NA,NA,NA
KCHI,annotated-13993_45847274-1,3527754,3529079,NA,1,NA,NA,NA,NA,SPEECH,3519906,3526055,1,NA,NA,FEM,3528993,3530119,1,NA,NA,38,SPEECH,3519906,FEM,3530119,NA,NA,NA
KCHI,annotated-13993_45847274-1,3567053,3567797,NA,1,NA,NA,NA,NA,MAL,3564059,3566487,1,NA,NA,NA,NA,NA,NA,NA,NA,39,MAL,3564059,KCHI,3567797,NA,NA,NA
KCHI,annotated-13993_45847274-1,3640344,3640995,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,3641018,3644025,1,NA,NA,40,KCHI,3640344,FEM,3644025,NA,NA,NA
KCHI,annotated-13993_45847274-1,3676146,3676462,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3676146,3676462
KCHI,annotated-13993_45847274-1,3681190,3683492,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAL,3683492,3683936,1,NA,NA,41,KCHI,3681190,MAL,3683936,NA,NA,NA
KCHI,annotated-13993_45847274-1,3687166,3688492,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,3688943,3690676,3,3704127,3716012,42,KCHI,3687166,SPEECH,3716012,NA,NA,NA
KCHI,annotated-13993_45847274-1,3692987,3693346,NA,1,NA,NA,NA,NA,CHI,3691995,3693046,1,NA,NA,FEM,3693541,3695492,4,3706012,3709853,42,KCHI,3687166,SPEECH,3716012,NA,NA,NA
KCHI,annotated-13993_45847274-1,3710509,3711012,NA,1,NA,NA,NA,NA,MAL,3709989,3710927,1,NA,NA,FEM,3711012,3715830,1,NA,NA,42,KCHI,3687166,SPEECH,3716012,NA,NA,NA
KCHI,annotated-13993_45847274-1,3788789,3789511,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3788789,3789511
KCHI,annotated-13993_45847274-1,3793449,3794588,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,3794511,3799808,1,NA,NA,43,KCHI,3793449,FEM,3802126,NA,NA,NA
KCHI,annotated-13993_45847274-1,3799752,3800214,NA,1,NA,NA,NA,NA,FEM,3794511,3799808,1,NA,NA,FEM,3800663,3802126,1,NA,NA,43,KCHI,3793449,FEM,3802126,NA,NA,NA
KCHI,annotated-13993_45847274-1,3824493,3825862,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3824493,3825862
KCHI,annotated-13993_45847274-1,3834869,3835981,NA,1,NA,NA,NA,NA,SPEECH,3829992,3832992,1,NA,NA,SPEECH,3836992,3848624,1,NA,NA,44,SPEECH,3829992,SPEECH,3848624,NA,NA,NA
KCHI,annotated-13993_45847274-1,3840492,3840991,NA,1,NA,NA,NA,NA,FEM,3837011,3839807,1,NA,NA,MAL,3840510,3843517,2,3844142,3844257,44,SPEECH,3829992,SPEECH,3848624,NA,NA,NA
KCHI,annotated-13993_45847274-1,3846511,3847184,NA,3,NA,NA,3847993,3848266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3846511,3848266
KCHI,annotated-13993_45847274-1,3847684,3847802,NA,3,3846511,3847184,3847993,3848266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3846511,3848266
KCHI,annotated-13993_45847274-1,3847993,3848266,NA,3,3846511,3847184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3846511,3848266
KCHI,annotated-13993_45847274-1,3876525,3882011,NA,1,NA,NA,NA,NA,MAL,3874925,3876879,2,3872580,3874818,FEM,3883024,3883176,2,3883339,3886469,45,MAL,3872580,FEM,3886469,NA,NA,NA
KCHI,annotated-13993_45847274-1,3889510,3889643,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,3890012,3891478,2,3892325,3894574,46,KCHI,3889510,FEM,3894574,NA,NA,NA
KCHI,annotated-13993_45847274-1,3901382,3901657,NA,1,NA,NA,NA,NA,SPEECH,3898805,3899818,1,NA,NA,NA,NA,NA,NA,NA,NA,47,SPEECH,3898805,KCHI,3901657,NA,NA,NA
KCHI,annotated-13993_45847274-1,3914654,3914797,NA,1,NA,NA,NA,NA,FEM,3913829,3914612,1,NA,NA,FEM,3914794,3915002,1,NA,NA,48,FEM,3913829,SPEECH,3928993,NA,NA,NA
KCHI,annotated-13993_45847274-1,3914992,3915303,NA,1,NA,NA,NA,NA,FEM,3914794,3915002,1,NA,NA,SPEECH,3917010,3917570,2,3917773,3928993,48,FEM,3913829,SPEECH,3928993,NA,NA,NA
KCHI,annotated-13993_45847274-1,3925491,3926014,NA,1,NA,NA,NA,NA,FEM,3922783,3924692,3,3918697,3921291,FEM,3925493,3928654,1,NA,NA,48,FEM,3913829,SPEECH,3928993,NA,NA,NA
KCHI,annotated-13993_45847274-1,3931261,3932403,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,3934010,3934290,1,NA,NA,49,KCHI,3931261,SPEECH,3934290,NA,NA,NA
KCHI,annotated-13993_45847274-1,3939339,3940279,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,3941077,3943510,1,NA,NA,50,SPEECH,3939261,SPEECH,3943510,NA,NA,NA
KCHI,annotated-13993_45847274-1,3941511,3943502,NA,1,NA,NA,NA,NA,SPEECH,3939261,3940522,1,NA,NA,NA,NA,NA,NA,NA,NA,50,SPEECH,3939261,SPEECH,3943510,NA,NA,NA
KCHI,annotated-13993_45847274-1,3965353,3967010,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3965353,3967010
KCHI,annotated-13993_45847274-1,3969743,3971125,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3969743,3971125
KCHI,annotated-13993_45847274-1,3976253,3977831,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,KCHI,3976253,FEM,3983310,NA,NA,NA
KCHI,annotated-13993_45847274-1,3978013,3980342,NA,1,NA,NA,NA,NA,FEM,3977513,3977699,1,NA,NA,FEM,3980645,3983310,1,NA,NA,51,KCHI,3976253,FEM,3983310,NA,NA,NA
