speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop
Child Utterances,annotated-315193_660612-NA,317170,317730,NA,1,NA,NA,NA,NA,Parent Utterances,315570,317130,1,NA,NA,Parent Utterances,317190,318110,2,318310,319260
Child Utterances,annotated-315193_660612-NA,321310,321930,NA,1,NA,NA,NA,NA,Parent Utterances,320290,320780,1,NA,NA,Parent Utterances,321960,322760,1,NA,NA
Child Utterances,annotated-315193_660612-NA,322940,323840,NA,1,NA,NA,NA,NA,Parent Utterances,321960,322760,1,NA,NA,Parent Utterances,323830,325240,1,NA,NA
Child Utterances,annotated-315193_660612-NA,331040,331510,NA,1,NA,NA,NA,NA,Parent Utterances,329880,330450,2,326620,329410,Parent Utterances,331880,333710,2,334100,334770
Child Utterances,annotated-315193_660612-NA,335950,336460,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,336690,338180,1,NA,NA
Child Utterances,annotated-315193_660612-NA,338610,338980,NA,1,NA,NA,NA,NA,Parent Utterances,336690,338180,1,NA,NA,Parent Utterances,339170,339760,2,340250,341900
Child Utterances,annotated-315193_660612-NA,342130,342430,NA,1,NA,NA,NA,NA,Parent Utterances,340250,341900,2,339170,339760,Parent Utterances,343220,343950,1,NA,NA
Child Utterances,annotated-315193_660612-NA,344400,344600,NA,1,NA,NA,NA,NA,Parent Utterances,343220,343950,1,NA,NA,Parent Utterances,344840,345440,1,NA,NA
Child Utterances,annotated-315193_660612-NA,345630,345930,NA,1,NA,NA,NA,NA,Parent Utterances,344840,345440,1,NA,NA,Parent Utterances,346040,346360,1,NA,NA
Child Utterances,annotated-315193_660612-NA,350280,351580,NA,1,NA,NA,NA,NA,Parent Utterances,347950,350300,1,NA,NA,Parent Utterances,351240,351800,1,NA,NA
