speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop
Child Utterances,annotated-315193_660612-NA,356060,356530,NA,1,NA,NA,NA,NA,Parent Utterances,352880,355500,1,NA,NA,Parent Utterances,356140,357140,1,NA,NA
Child Utterances,annotated-315193_660612-NA,357330,357700,NA,1,NA,NA,NA,NA,Parent Utterances,356140,357140,1,NA,NA,Parent Utterances,357750,358410,1,NA,NA
Child Utterances,annotated-315193_660612-NA,358580,358950,NA,1,NA,NA,NA,NA,Parent Utterances,357750,358410,1,NA,NA,Parent Utterances,358840,359470,3,362450,363030
Child Utterances,annotated-315193_660612-NA,363670,364370,NA,1,NA,NA,NA,NA,Parent Utterances,362450,363030,3,358840,359470,Parent Utterances,364390,365800,2,366690,368920
Child Utterances,annotated-315193_660612-NA,389900,390720,NA,1,NA,NA,NA,NA,Parent Utterances,389170,389550,2,387310,388990,Parent Utterances,391150,393420,3,395090,395910
Child Utterances,annotated-315193_660612-NA,396440,397090,NA,1,NA,NA,NA,NA,Parent Utterances,395090,395910,3,391150,393420,Parent Utterances,397810,399420,4,402580,403280
Child Utterances,annotated-315193_660612-NA,403610,404220,NA,1,NA,NA,NA,NA,Parent Utterances,402580,403280,4,397810,399420,Parent Utterances,404940,405670,2,406410,409300
Child Utterances,annotated-315193_660612-NA,420500,420700,NA,1,NA,NA,NA,NA,Parent Utterances,418835,420260,2,417810,418360,Parent Utterances,420800,421400,1,NA,NA
Child Utterances,annotated-315193_660612-NA,421740,422060,NA,1,NA,NA,NA,NA,Parent Utterances,420800,421400,1,NA,NA,Parent Utterances,422340,422910,1,NA,NA
Child Utterances,annotated-315193_660612-NA,423060,423720,NA,1,NA,NA,NA,NA,Parent Utterances,422340,422910,1,NA,NA,Parent Utterances,423790,424600,4,427880,428400
Child Utterances,annotated-315193_660612-NA,430920,431880,NA,1,NA,NA,NA,NA,Parent Utterances,429540,430870,1,NA,NA,Parent Utterances,432030,433180,3,434120,435020
Child Utterances,annotated-315193_660612-NA,437030,437640,NA,1,NA,NA,NA,NA,Parent Utterances,436260,436800,1,NA,NA,Parent Utterances,437980,438780,1,NA,NA
Child Utterances,annotated-315193_660612-NA,438030,439920,NA,1,NA,NA,NA,NA,Parent Utterances,437980,438780,1,NA,NA,Parent Utterances,440200,441020,2,441600,442080
Child Utterances,annotated-315193_660612-NA,448900,449240,NA,1,NA,NA,NA,NA,Parent Utterances,447490,448330,1,NA,NA,Parent Utterances,449340,449620,3,451290,452280
Child Utterances,annotated-315193_660612-NA,452740,454320,NA,1,NA,NA,NA,NA,Parent Utterances,451290,452280,3,449340,449620,Parent Utterances,454370,455710,2,455960,457550
Child Utterances,annotated-315193_660612-NA,457600,457970,NA,1,NA,NA,NA,NA,Parent Utterances,455960,457550,2,454370,455710,Parent Utterances,457780,458460,2,459080,459670
Child Utterances,annotated-315193_660612-NA,471150,473270,NA,1,NA,NA,NA,NA,Parent Utterances,470730,471160,3,468030,468460,Parent Utterances,473810,474480,1,NA,NA
Child Utterances,annotated-315193_660612-NA,475430,476300,NA,1,NA,NA,NA,NA,Parent Utterances,473810,474480,1,NA,NA,Parent Utterances,476360,477070,2,477730,478980
Child Utterances,annotated-315193_660612-NA,478300,479680,NA,1,NA,NA,NA,NA,Parent Utterances,477730,478980,2,476360,477070,Parent Utterances,480150,481410,1,NA,NA
Child Utterances,annotated-315193_660612-NA,480780,481340,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,481570,482340,1,NA,NA
Child Utterances,annotated-315193_660612-NA,481660,481960,NA,1,NA,NA,NA,NA,Parent Utterances,480150,481410,1,NA,NA,NA,NA,NA,NA,NA,NA
Child Utterances,annotated-315193_660612-NA,484880,491600,NA,1,NA,NA,NA,NA,Parent Utterances,484510,485660,2,483580,484070,NA,NA,NA,NA,NA,NA
Child Utterances,annotated-315193_660612-NA,497590,498280,NA,1,NA,NA,NA,NA,Parent Utterances,495720,496860,2,494040,494900,Parent Utterances,498480,499990,1,NA,NA
Child Utterances,annotated-315193_660612-NA,500520,500760,NA,1,NA,NA,NA,NA,Parent Utterances,498480,499990,1,NA,NA,Parent Utterances,500790,502310,1,NA,NA
Child Utterances,annotated-315193_660612-NA,502430,503180,NA,1,NA,NA,NA,NA,Parent Utterances,500790,502310,1,NA,NA,Parent Utterances,503720,504220,2,504560,505130
Child Utterances,annotated-315193_660612-NA,505320,505720,NA,1,NA,NA,NA,NA,Parent Utterances,504560,505130,2,503720,504220,NA,NA,NA,NA,NA,NA
Child Utterances,annotated-315193_660612-NA,506990,508660,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,509300,510340,2,511260,514100
Child Utterances,annotated-315193_660612-NA,514500,514810,NA,1,NA,NA,NA,NA,Parent Utterances,511260,514100,2,509300,510340,Parent Utterances,515540,516000,3,517700,518460
Child Utterances,annotated-315193_660612-NA,518710,519000,NA,1,NA,NA,NA,NA,Parent Utterances,517700,518460,3,515540,516000,Parent Utterances,519130,521930,1,NA,NA
Child Utterances,annotated-315193_660612-NA,522050,522370,NA,1,NA,NA,NA,NA,Parent Utterances,519130,521930,1,NA,NA,Parent Utterances,522880,523380,1,NA,NA
Child Utterances,annotated-315193_660612-NA,523410,525220,NA,1,NA,NA,NA,NA,Parent Utterances,522880,523380,1,NA,NA,NA,NA,NA,NA,NA,NA
Child Utterances,annotated-315193_660612-NA,525670,527280,NA,1,NA,NA,NA,NA,Parent Utterances,524160,525020,1,NA,NA,Parent Utterances,527240,527780,1,NA,NA
Child Utterances,annotated-315193_660612-NA,529810,530110,NA,1,NA,NA,NA,NA,Parent Utterances,528880,529740,1,NA,NA,Parent Utterances,530180,531020,1,NA,NA
Child Utterances,annotated-315193_660612-NA,531240,531460,NA,1,NA,NA,NA,NA,Parent Utterances,530180,531020,1,NA,NA,Parent Utterances,531540,532700,1,NA,NA
Child Utterances,annotated-315193_660612-NA,532300,534600,NA,1,NA,NA,NA,NA,Parent Utterances,531540,532700,1,NA,NA,Parent Utterances,535100,535770,5,541570,543050
Child Utterances,annotated-315193_660612-NA,543810,544240,NA,1,NA,NA,NA,NA,Parent Utterances,541570,543050,5,535100,535770,Parent Utterances,544600,545180,1,NA,NA
Child Utterances,annotated-315193_660612-NA,546190,546730,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,546280,547670,1,NA,NA
Child Utterances,annotated-315193_660612-NA,547230,549200,NA,1,NA,NA,NA,NA,Parent Utterances,546280,547670,1,NA,NA,Parent Utterances,549660,551210,1,NA,NA
Child Utterances,annotated-315193_660612-NA,558810,559550,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,559170,560340,1,NA,NA
Child Utterances,annotated-315193_660612-NA,561470,561880,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,562730,564150,1,NA,NA
Child Utterances,annotated-315193_660612-NA,564820,565170,NA,1,NA,NA,NA,NA,Parent Utterances,562730,564150,1,NA,NA,Parent Utterances,565810,566270,1,NA,NA
Child Utterances,annotated-315193_660612-NA,584050,584530,NA,1,NA,NA,NA,NA,Parent Utterances,581340,583380,1,NA,NA,Parent Utterances,585000,585690,1,NA,NA
Child Utterances,annotated-315193_660612-NA,585790,586010,NA,1,NA,NA,NA,NA,Parent Utterances,585000,585690,1,NA,NA,Parent Utterances,586150,586570,1,NA,NA
Child Utterances,annotated-315193_660612-NA,588980,589490,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Child Utterances,annotated-315193_660612-NA,598410,598830,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,598990,599970,1,NA,NA
Child Utterances,annotated-315193_660612-NA,600070,600310,NA,1,NA,NA,NA,NA,Parent Utterances,598990,599970,1,NA,NA,Parent Utterances,600430,601100,2,601240,601720
Child Utterances,annotated-315193_660612-NA,601260,603380,NA,1,NA,NA,NA,NA,Parent Utterances,601240,601720,2,600430,601100,Parent Utterances,602850,604490,1,NA,NA
Child Utterances,annotated-315193_660612-NA,604670,605060,NA,1,NA,NA,NA,NA,Parent Utterances,602850,604490,1,NA,NA,Parent Utterances,605930,607240,1,NA,NA
Child Utterances,annotated-315193_660612-NA,607870,608190,NA,2,NA,NA,608460,609940,Parent Utterances,605930,607240,1,NA,NA,NA,NA,NA,NA,NA,NA
Child Utterances,annotated-315193_660612-NA,608460,609940,NA,2,607870,608190,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,609720,610680,1,NA,NA
Child Utterances,annotated-315193_660612-NA,614560,615120,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,615920,616400,1,NA,NA
Child Utterances,annotated-315193_660612-NA,616020,616940,NA,1,NA,NA,NA,NA,Parent Utterances,615920,616400,1,NA,NA,Parent Utterances,617760,618560,1,NA,NA
Child Utterances,annotated-315193_660612-NA,619020,619350,NA,1,NA,NA,NA,NA,Parent Utterances,617760,618560,1,NA,NA,Parent Utterances,620010,620830,1,NA,NA
Child Utterances,annotated-315193_660612-NA,621010,621300,NA,1,NA,NA,NA,NA,Parent Utterances,620010,620830,1,NA,NA,Parent Utterances,621610,622520,2,622800,623420
Child Utterances,annotated-315193_660612-NA,623740,624330,NA,1,NA,NA,NA,NA,Parent Utterances,622800,623420,2,621610,622520,Parent Utterances,624290,624680,2,624870,627220
Child Utterances,annotated-315193_660612-NA,626910,629500,NA,1,NA,NA,NA,NA,Parent Utterances,624870,627220,2,624290,624680,Parent Utterances,629610,631590,1,NA,NA
Child Utterances,annotated-315193_660612-NA,630800,631180,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Child Utterances,annotated-315193_660612-NA,631940,632510,NA,1,NA,NA,NA,NA,Parent Utterances,629610,631590,1,NA,NA,Parent Utterances,633040,634670,1,NA,NA
Child Utterances,annotated-315193_660612-NA,635480,635880,NA,1,NA,NA,NA,NA,Parent Utterances,633040,634670,1,NA,NA,Parent Utterances,636120,636730,2,636940,637840
Child Utterances,annotated-315193_660612-NA,638910,640020,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,640120,640510,2,640570,644740
Child Utterances,annotated-315193_660612-NA,645250,647480,NA,1,NA,NA,NA,NA,Parent Utterances,640570,644740,2,640120,640510,NA,NA,NA,NA,NA,NA
Child Utterances,annotated-315193_660612-NA,651080,651440,NA,1,NA,NA,NA,NA,Parent Utterances,648990,650690,1,NA,NA,Parent Utterances,651720,652810,3,655100,655710
