speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop,intseq.num,intseq.start.spkr,intseq.start.ms,intseq.stop.spkr,intseq.stop.ms,vocseq.num,vocseq.start.ms,vocseq.stop.ms
CH,annotated-0_51968990-1,44110,45930,NA,1,NA,NA,NA,NA,FA,39250,42970,1,NA,NA,FA,45930,48270,1,NA,NA,1,FA,39250,FA,48270,NA,NA,NA
CH,annotated-0_51968990-1,52430,55600,NA,1,NA,NA,NA,NA,FA,50630,51630,1,NA,NA,CX,56400,57130,1,NA,NA,2,FA,50630,FA,69450,NA,NA,NA
CH,annotated-0_51968990-1,62410,63020,NA,1,NA,NA,NA,NA,FA,59990,62410,2,57130,58470,FA,63020,67090,2,68450,69450,2,FA,50630,FA,69450,NA,NA,NA
CH,annotated-0_51968990-1,76730,77330,NA,1,NA,NA,NA,NA,FA,72980,76730,2,72370,72980,FA,77330,80670,6,86990,88780,3,FA,72370,FA,96250,NA,NA,NA
CH,annotated-0_51968990-1,93800,94400,NA,1,NA,NA,NA,NA,CX,92540,93800,3,88780,89630,FA,95200,96250,1,NA,NA,3,FA,72370,FA,96250,NA,NA,NA
CH,annotated-0_51968990-1,101920,102530,NA,1,NA,NA,NA,NA,FA,100640,101920,1,NA,NA,FA,102530,106390,5,112670,113670,4,FA,100640,FA,113670,NA,NA,NA
CH,annotated-0_51968990-1,132300,133000,NA,1,NA,NA,NA,NA,FA,128500,131400,5,117900,119040,MA,133910,134710,1,NA,NA,5,FA,117900,CX,140150,NA,NA,NA
CH,annotated-0_51968990-1,135710,136380,NA,2,NA,NA,137180,137780,CX,134710,135710,1,NA,NA,NA,NA,NA,NA,NA,NA,5,FA,117900,CX,140150,NA,NA,NA
CH,annotated-0_51968990-1,137180,137780,NA,2,135710,136380,NA,NA,NA,NA,NA,NA,NA,NA,CX,139320,140150,1,NA,NA,5,FA,117900,CX,140150,NA,NA,NA
CH,annotated-0_51968990-1,179550,180150,NA,1,NA,NA,NA,NA,FA,176770,179550,3,170870,171870,CX,180950,182100,2,182100,182810,6,FA,170870,CX,182810,NA,NA,NA
CH,annotated-0_51968990-1,197640,198790,NA,1,NA,NA,NA,NA,FA,190570,197640,1,NA,NA,FA,198790,202460,4,205060,206480,7,FA,190570,FA,231530,NA,NA,NA
CH,annotated-0_51968990-1,207340,208520,NA,1,NA,NA,NA,NA,FA,205060,206480,4,198790,202460,FA,209230,213790,8,230500,231530,7,FA,190570,FA,231530,NA,NA,NA
CH,annotated-0_51968990-1,208520,209230,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FA,190570,FA,231530,NA,NA,NA
CH,annotated-0_51968990-1,340020,340620,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,340020,340620
CH,annotated-0_51968990-1,405210,406030,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,407920,408920,1,NA,NA,8,CH,405210,CH,414080,NA,NA,NA
CH,annotated-0_51968990-1,410130,410900,NA,1,NA,NA,NA,NA,FA,407920,408920,1,NA,NA,FA,412190,413210,1,NA,NA,8,CH,405210,CH,414080,NA,NA,NA
CH,annotated-0_51968990-1,413210,414080,NA,1,NA,NA,NA,NA,FA,412190,413210,1,NA,NA,NA,NA,NA,NA,NA,NA,8,CH,405210,CH,414080,NA,NA,NA
CH,annotated-0_51968990-1,434190,435100,NA,1,NA,NA,NA,NA,MA,433180,434190,1,NA,NA,CX,436130,436930,1,NA,NA,9,MA,433180,FA,442580,NA,NA,NA
CH,annotated-0_51968990-1,438100,439030,NA,1,NA,NA,NA,NA,FA,436930,438100,1,NA,NA,FA,440180,441180,2,441980,442580,9,MA,433180,FA,442580,NA,NA,NA
CH,annotated-0_51968990-1,478880,479650,NA,4,NA,NA,485540,486140,FA,475790,477010,2,473970,474990,NA,NA,NA,NA,NA,NA,10,FA,473970,CH,486140,NA,NA,NA
CH,annotated-0_51968990-1,481540,482140,NA,4,478880,479650,485540,486140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FA,473970,CH,486140,NA,NA,NA
CH,annotated-0_51968990-1,482980,483580,NA,4,478880,479650,485540,486140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FA,473970,CH,486140,NA,NA,NA
CH,annotated-0_51968990-1,485540,486140,NA,4,478880,479650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FA,473970,CH,486140,NA,NA,NA
