speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop,intseq.num,intseq.start.spkr,intseq.start.ms,intseq.stop.spkr,intseq.stop.ms,vocseq.num,vocseq.start.ms,vocseq.stop.ms
CHI,annotated-210_76220-1,1120,1750,NA,1,NA,NA,NA,NA,FC1,210,1020,1,NA,NA,FC1,2060,3170,1,NA,NA,1,FC1,210,FC1,5080,NA,NA,NA
CHI,annotated-210_76220-1,2690,3920,NA,1,NA,NA,NA,NA,FC1,2060,3170,1,NA,NA,FC1,3620,5080,1,NA,NA,1,FC1,210,FC1,5080,NA,NA,NA
CHI,annotated-210_76220-1,9890,10420,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9890,10420
CHI,annotated-210_76220-1,14740,15670,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA1,16470,17340,1,NA,NA,2,MA1,14480,CHI,17385,NA,NA,NA
CHI,annotated-210_76220-1,16350,17385,NA,1,NA,NA,NA,NA,MA1,14480,15680,1,NA,NA,NA,NA,NA,NA,NA,NA,2,MA1,14480,CHI,17385,NA,NA,NA
CHI,annotated-210_76220-1,25290,26400,NA,2,NA,NA,26675,27865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,CHI,25290,MA2,33385,NA,NA,NA
CHI,annotated-210_76220-1,26675,27865,NA,2,25290,26400,NA,NA,NA,NA,NA,NA,NA,NA,FC1,29090,29635,1,NA,NA,3,CHI,25290,MA2,33385,NA,NA,NA
CHI,annotated-210_76220-1,31385,32385,NA,1,NA,NA,NA,NA,FC1,29090,29635,1,NA,NA,MA2,32385,33385,1,NA,NA,3,CHI,25290,MA2,33385,NA,NA,NA
CHI,annotated-210_76220-1,37265,38015,NA,1,NA,NA,NA,NA,MA1,36870,37460,1,NA,NA,MA1,37925,38535,1,NA,NA,4,MA1,36870,MA1,38535,NA,NA,NA
CHI,annotated-210_76220-1,41900,42530,NA,7,NA,NA,47235,47925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,CHI,41900,MA1,50590,NA,NA,NA
CHI,annotated-210_76220-1,42825,43485,NA,7,41900,42530,47235,47925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,CHI,41900,MA1,50590,NA,NA,NA
CHI,annotated-210_76220-1,43745,44375,NA,7,41900,42530,47235,47925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,CHI,41900,MA1,50590,NA,NA,NA
CHI,annotated-210_76220-1,44620,45280,NA,7,41900,42530,47235,47925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,CHI,41900,MA1,50590,NA,NA,NA
CHI,annotated-210_76220-1,45380,46130,NA,7,41900,42530,47235,47925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,CHI,41900,MA1,50590,NA,NA,NA
CHI,annotated-210_76220-1,46235,47215,NA,7,41900,42530,47235,47925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,CHI,41900,MA1,50590,NA,NA,NA
CHI,annotated-210_76220-1,47235,47925,NA,7,41900,42530,NA,NA,NA,NA,NA,NA,NA,NA,MA1,49770,50590,1,NA,NA,5,CHI,41900,MA1,50590,NA,NA,NA
CHI,annotated-210_76220-1,55440,55990,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA1,57265,58315,1,NA,NA,6,CHI,55440,CHI,61135,NA,NA,NA
CHI,annotated-210_76220-1,56655,57345,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,CHI,55440,CHI,61135,NA,NA,NA
CHI,annotated-210_76220-1,58190,58760,NA,2,NA,NA,60455,61135,MA1,57265,58315,1,NA,NA,NA,NA,NA,NA,NA,NA,6,CHI,55440,CHI,61135,NA,NA,NA
CHI,annotated-210_76220-1,60455,61135,NA,2,58190,58760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,CHI,55440,CHI,61135,NA,NA,NA
CHI,annotated-210_76220-1,63275,63895,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FC1,64010,64690,1,NA,NA,7,CHI,63275,CHI,65445,NA,NA,NA
CHI,annotated-210_76220-1,64715,65445,NA,1,NA,NA,NA,NA,FC1,64010,64690,1,NA,NA,NA,NA,NA,NA,NA,NA,7,CHI,63275,CHI,65445,NA,NA,NA
CHI,annotated-210_76220-1,68245,68585,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA1,69080,70170,1,NA,NA,8,CHI,68245,CHI,70865,NA,NA,NA
CHI,annotated-210_76220-1,70235,70865,NA,1,NA,NA,NA,NA,MA1,69080,70170,1,NA,NA,NA,NA,NA,NA,NA,NA,8,CHI,68245,CHI,70865,NA,NA,NA
CHI,annotated-210_76220-1,75500,76220,NA,1,NA,NA,NA,NA,FC1,74370,75360,1,NA,NA,NA,NA,NA,NA,NA,NA,9,FC1,74370,CHI,76220,NA,NA,NA
